Iteration_Identifier,time,HSFA1,HSPR,C_HSFA1_HSPR,MMP,FMP,C_HSPR_MMP,HSFA2,HSFB
Iteration 0,7.754104011167031,0,38,69,0,153,14,1,1
Iteration 0,7.85194680776979,0,38,69,0,154,14,1,1
Iteration 0,7.881830185809863,1,39,68,0,154,14,1,1
Iteration 0,7.8852838047722935,0,38,69,0,154,14,1,1
Iteration 0,7.904696895864075,0,38,69,1,153,14,1,1
Iteration 0,7.915840681809752,1,38,69,1,153,14,1,1
Iteration 0,7.919527239876436,0,37,70,1,153,14,1,1
Iteration 0,7.943893723959094,0,37,70,1,154,14,1,1
Iteration 0,7.975415554374324,1,38,69,1,154,14,1,1
Iteration 0,7.975876023632595,0,37,70,1,154,14,1,1
Iteration 0,7.980171063490768,0,37,70,1,155,14,1,1
Iteration 0,8.088225364114228,0,36,70,0,155,15,1,1
Iteration 0,8.089301954686627,1,37,69,0,155,15,1,1
Iteration 0,8.089454070267324,0,36,70,0,155,15,1,1
Iteration 0,8.11506044163297,0,36,70,1,154,15,1,1
Iteration 0,8.120230194650551,1,37,69,1,154,15,1,1
Iteration 0,8.120704744089723,1,38,69,1,154,15,1,1
Iteration 0,8.124426965086972,1,39,69,1,154,15,1,1
Iteration 0,8.132860764270614,1,38,69,0,154,16,1,1
Iteration 0,8.134678307662176,0,37,70,0,154,16,1,1
Iteration 0,8.159871250300558,0,37,70,1,153,16,1,1
Iteration 0,8.178325081464557,0,37,70,1,154,16,1,1
Iteration 0,8.191445147905268,1,38,69,1,154,16,1,1
Iteration 0,8.19152836899286,0,37,70,1,154,16,1,1
Iteration 0,8.200481504764822,0,36,70,0,154,17,1,1
Iteration 0,8.210068067204856,0,36,70,0,155,17,1,1
Iteration 0,8.260691052249554,0,36,70,0,156,17,1,1
Iteration 0,8.295058635109694,1,37,69,0,156,17,1,1
Iteration 0,8.295401525692757,0,36,70,0,156,17,1,1
Iteration 0,8.296027959665581,0,37,70,0,156,17,1,1
Iteration 0,8.354477633907928,0,38,70,0,157,16,1,1
Iteration 0,8.3554688669256,0,38,70,0,158,16,1,1
Iteration 0,8.366163672729897,0,38,70,0,159,16,1,1
Iteration 0,8.369661310994337,0,39,70,1,159,15,1,1
Iteration 0,8.374499668547937,0,38,70,0,159,16,1,1
Iteration 0,8.394061408016212,0,38,70,0,160,16,1,1
Iteration 0,8.40913033908577,1,39,69,0,160,16,1,1
Iteration 0,8.410326640084056,0,38,70,0,160,16,1,1
Iteration 0,8.412153252741657,0,38,70,0,161,16,1,1
Iteration 0,8.445242641427802,0,38,70,0,160,16,1,1
Iteration 0,8.488572528866325,0,39,70,0,161,15,1,1
Iteration 0,8.501174870429239,0,39,70,0,162,15,1,1
Iteration 0,8.512524788892122,0,39,70,0,163,15,1,1
Iteration 0,8.522834072490497,1,40,69,0,163,15,1,1
Iteration 0,8.526722422797345,0,39,70,0,163,15,1,1
Iteration 0,8.591443853543355,1,39,70,0,163,15,1,1
Iteration 0,8.600555881369637,0,38,71,0,163,15,1,1
Iteration 0,8.63004875659053,1,39,70,0,163,15,1,1
Iteration 0,8.633401198098243,1,40,70,0,163,15,1,1
Iteration 0,8.634421762020091,0,39,71,0,163,15,1,1
Iteration 0,8.638838703029899,0,39,71,0,162,15,1,1
Iteration 0,8.761154100284779,1,40,70,0,162,15,1,1
Iteration 0,8.76215742116377,0,39,71,0,162,15,1,1
Iteration 0,8.783499290728502,0,40,71,0,163,14,1,1
Iteration 0,8.793028272293961,1,41,70,0,163,14,1,1
Iteration 0,8.793506742576858,0,40,71,0,163,14,1,1
Iteration 0,8.835297390723724,1,41,70,0,163,14,1,1
Iteration 0,8.835380474658965,1,42,70,0,163,14,1,1
Iteration 0,8.835430229151736,0,41,71,0,163,14,1,1
Iteration 0,8.847325604144542,0,42,71,0,164,13,1,1
Iteration 0,8.855138368529715,0,42,71,0,165,13,1,1
Iteration 0,8.869694161915831,0,41,71,0,165,13,1,1
Iteration 0,8.883341733979849,0,42,71,0,165,13,1,1
Iteration 0,8.892471044346733,0,43,71,0,165,13,1,1
Iteration 0,8.900062014021499,1,44,70,0,165,13,1,1
Iteration 0,8.901364404341283,0,43,71,0,165,13,1,1
Iteration 0,8.927483849104396,1,43,71,0,165,13,1,1
Iteration 0,8.927646125484308,0,42,72,0,165,13,1,1
Iteration 0,8.97234971281472,0,42,72,0,164,13,1,1
Iteration 0,8.973385164341423,1,43,71,0,164,13,1,1
Iteration 0,8.974061215692725,0,42,72,0,164,13,1,1
Iteration 0,9.034260456670262,0,43,72,0,164,13,1,1
Iteration 0,9.07932730603892,0,43,72,0,165,13,1,1
Iteration 0,9.11829038838051,0,43,72,0,164,13,1,1
Iteration 0,9.19153821566754,1,44,71,0,164,13,1,1
Iteration 0,9.192832296323488,0,43,72,0,164,13,1,1
Iteration 0,9.199221633549012,0,43,72,0,165,13,1,1
Iteration 0,9.200493559154172,0,43,72,0,166,13,1,1
Iteration 0,9.235420048506331,0,42,72,0,166,13,1,1
Iteration 0,9.236154195971693,0,42,72,0,167,13,1,1
Iteration 0,9.248171473244485,1,43,71,0,167,13,1,1
Iteration 0,9.249497238923398,0,42,72,0,167,13,1,1
Iteration 0,9.378356826748329,0,42,72,0,168,13,1,1
Iteration 0,9.385873168680535,0,42,72,0,169,13,1,1
Iteration 0,9.47506265579051,0,42,72,0,170,13,1,1
Iteration 0,9.498658897035398,0,41,72,0,170,13,1,1
Iteration 0,9.516264252330418,0,41,72,0,171,13,1,1
Iteration 0,9.587877624010003,0,42,72,0,171,13,1,1
Iteration 0,9.589541523767192,0,42,72,0,172,13,1,1
Iteration 0,9.765490521720018,0,42,72,0,171,13,1,1
Iteration 0,9.770229091930144,0,42,72,0,172,13,1,1
